Distance_Label,Distance_in,Distance_mm,Time_min,Temperature(F)
7 in.,7,180,30,116.0140522
7 in.,7,180,45,115.4922268
7 in.,7,180,60,136.4465115
7 in.,7,180,90,183.9625654
7 in.,7,180,120,212.9495398
7 in.,7,180,180,257.7923078
7 in.,7,180,240,294.8376353
6 in.,6,150,30,128.0203141
6 in.,6,150,45,147.5203312
6 in.,6,150,60,176.481642
6 in.,6,150,90,222.6589144
6 in.,6,150,120,244.9776442
6 in.,6,150,180,293.819648
6 in.,6,150,240,341.5495649
5 in.,5,125,30,138.2565043
5 in.,5,125,45,174.4385387
5 in.,5,125,60,204.0621115
5 in.,5,125,90,255.7991058
5 in.,5,125,120,298.8033659
5 in.,5,125,180,373.8941864
5 in.,5,125,240,435.8538261
3 1/2 in.,3.5,90,30,166.0586783
3 1/2 in.,3.5,90,45,212.2459309
3 1/2 in.,3.5,90,60,254.1060247
3 1/2 in.,3.5,90,90,320.3037138
3 1/2 in.,3.5,90,120,376.6494531
3 1/2 in.,3.5,90,180,492.887491
3 1/2 in.,3.5,90,240,605.9995666
4 in.,4,100,30,153.8257217
4 in.,4,100,45,191.1162787
4 in.,4,100,60,226.3002863
4 in.,4,100,90,286.9375406
4 in.,4,100,120,338.8384965
4 in.,4,100,180,442.8471422
4 in.,4,100,240,534.8295655
3 1/8 in.,3.125,80,30,180.5158087
3 1/8 in.,3.125,80,45,228.9272353
3 1/8 in.,3.125,80,60,275.2356769
3 1/8 in.,3.125,80,90,354.7784095
3 1/8 in.,3.125,80,120,437.8142359
3 1/8 in.,3.125,80,180,596.3115783
3 1/8 in.,3.125,80,240,689.4096529
2 3/4 in.,2.75,70,30,204.9817219
2 3/4 in.,2.75,70,45,262.2898441
2 3/4 in.,2.75,70,60,319.7191553
2 3/4 in.,2.75,70,90,418.1673662
2 3/4 in.,2.75,70,120,521.2243222
2 3/4 in.,2.75,70,180,687.5027089
2 3/4 in.,2.75,70,240,780.5972192
2 3/8 in.,2.375,60,30,229.4511993
2 3/8 in.,2.375,60,45,296.7645398
2 3/8 in.,2.375,60,60,368.6509815
2 3/8 in.,2.375,60,90,511.5826708
2 3/8 in.,2.375,60,120,625.756932
2 3/8 in.,2.375,60,180,778.6938396
2 3/8 in.,2.375,60,240,866.2279151
2 in.,2,50,30,279.4915481
2 in.,2,50,45,360.8207487
2 in.,2,50,60,462.0662861
2 in.,2,50,90,634.1310894
2 in.,2,50,120,739.1898019
2 in.,2,50,180,882.785179
2 in.,2,50,240,962.5403488
1 1/2 in.,1.5,40,30,345.7697923
1 1/2 in.,1.5,40,45,455.792975
1 1/2 in.,1.5,40,60,593.2925473
1 1/2 in.,1.5,40,90,759.5759242
1 1/2 in.,1.5,40,120,862.409037
1 1/2 in.,1.5,40,180,998.4422228
1 1/2 in.,1.5,40,240,1079.754314
1 3/16 in.,1.1875,30,30,438.5214091
1 3/16 in.,1.1875,30,45,617.4904189
1 3/16 in.,1.1875,30,60,744.7623556
1 3/16 in.,1.1875,30,90,897.2544284
1 3/16 in.,1.1875,30,120,993.86128
1 3/16 in.,1.1875,30,180,1135.004363
1 3/16 in.,1.1875,30,240,1211.426123
1 in.,1,25,30,508.5850262
1 in.,1,25,45,703.788367
1 in.,1,25,60,827.2756436
1 in.,1,25,90,976.4350199
1 in.,1,25,120,1072.593472
1 in.,1,25,180,1207.514571
1 in.,1,25,240,1283.043811
3/4 in.,0.75,20,30,626.4698083
3/4 in.,0.75,20,45,811.6608021
3/4 in.,0.75,20,60,928.2567039
3/4 in.,0.75,20,90,1073.186585
3/4 in.,0.75,20,120,1166.229056
3/4 in.,0.75,20,180,1295.814276
3/4 in.,0.75,20,240,1368.229672
9/16 in.,0.5625,15,30,752.1334961
9/16 in.,0.5625,15,45,928.4320714
9/16 in.,0.5625,15,60,1044.581
9/16 in.,0.5625,15,90,1180.391768
9/16 in.,0.5625,15,120,1270.763804
9/16 in.,0.5625,15,180,1393.677928
9/16 in.,0.5625,15,240,1464.311846
3/8 in.,0.375,10,30,856.2248355
3/8 in.,0.375,10,45,1038.526542
3/8 in.,0.375,10,60,1154.896462
3/8 in.,0.375,10,90,1292.931404
3/8 in.,0.375,10,120,1380.196725
3/8 in.,0.375,10,180,1507.77805
3/8 in.,0.375,10,240,1577.969985
3/16 in.,0.1875,5,30,1000.133165
3/16 in.,0.1875,5,45,1189.770368
3/16 in.,0.1875,5,60,1303.695836
3/16 in.,0.1875,5,90,1441.951057
3/16 in.,0.1875,5,120,1526.550934
3/16 in.,0.1875,5,150,1600
