Distance_Label,Distance_in,Distance_mm,Time_min,Temperature(F)
7 in.,7,180,30,89.67267189
7 in.,7,180,45,98.65478153
7 in.,7,180,60,107.4057831
7 in.,7,180,90,122.9364845
7 in.,7,180,120,141.2649704
7 in.,7,180,180,173.9234811
7 in.,7,180,240,200.3208952
6 in.,6,150,30,100.5033815
6 in.,6,150,45,113.7678736
6 in.,6,150,60,127.5562637
6 in.,6,150,90,152.6598167
6 in.,6,150,120,177.7891807
6 in.,6,150,180,215.4852123
6 in.,6,150,240,236.089173
5 in.,5,125,30,118.8918284
5 in.,5,125,45,141.4763562
5 in.,5,125,60,164.8357447
5 in.,5,125,90,200.518118
5 in.,5,125,120,231.6928248
5 in.,5,125,180,287.5255463
5 in.,5,125,240,323.7466424
4 in.,4,100,30,140.3022848
4 in.,4,100,45,162.886945
4 in.,4,100,60,188.2622419
4 in.,4,100,90,231.249272
4 in.,4,100,120,277.2854463
4 in.,4,100,180,380.4726906
4 in.,4,100,240,481.9331101
3 1/2 in.,3.5,90,30,161.4607196
3 1/2 in.,3.5,90,45,181.023635
3 1/2 in.,3.5,90,60,205.1388237
3 1/2 in.,3.5,90,90,253.4161904
3 1/2 in.,3.5,90,120,303.7338207
3 1/2 in.,3.5,90,180,437.1477786
3 1/2 in.,3.5,90,240,545.9129872
3 1/8 in.,3.125,80,30,181.1087452
3 1/8 in.,3.125,80,45,212.0060164
3 1/8 in.,3.125,80,60,243.4259942
3 1/8 in.,3.125,80,90,301.2740947
3 1/8 in.,3.125,80,120,364.9429157
3 1/8 in.,3.125,80,180,510.1963316
3 1/8 in.,3.125,80,240,613.4193142
2 3/4 in.,2.75,70,30,203.2746048
2 3/4 in.,2.75,70,45,234.6753898
2 3/4 in.,2.75,70,60,268.6149222
2 3/4 in.,2.75,70,90,342.8360906
2 3/4 in.,2.75,70,120,430.9372452
2 3/4 in.,2.75,70,180,603.142814
2 3/4 in.,2.75,70,240,709.1367112
2 3/8 in.,2.375,60,30,224.6846641
2 3/8 in.,2.375,60,45,264.6502141
2 3/8 in.,2.375,60,60,308.917207
2 3/8 in.,2.375,60,90,409.0824418
2 3/8 in.,2.375,60,120,523.6338238
2 3/8 in.,2.375,60,180,716.7452764
2 3/8 in.,2.375,60,240,830.044095
2 in.,2,50,30,249.3704753
2 in.,2,50,45,293.6174813
2 in.,2,50,60,370.3777942
2 in.,2,50,90,526.4628462
2 in.,2,50,120,661.4165981
2 in.,2,50,180,860.5736581
2 in.,2,50,240,973.6203227
1 1/2 in.,1.5,40,30,350.6298335
1 1/2 in.,1.5,40,45,407.4714358
1 1/2 in.,1.5,40,60,495.8194498
1 1/2 in.,1.5,40,90,684.6499758
1 1/2 in.,1.5,40,120,826.6559657
1 1/2 in.,1.5,40,180,1025.309247
1 1/2 in.,1.5,40,240,1144.905695
1 3/16 in.,1.1875,30,30,422.4182783
1 3/16 in.,1.1875,30,45,581.6272868
1 3/16 in.,1.1875,30,60,719.3959775
1 3/16 in.,1.1875,30,90,911.5513097
1 3/16 in.,1.1875,30,120,1042.071148
1 3/16 in.,1.1875,30,180,1231.203015
1 3/16 in.,1.1875,30,240,1336.945208
1 in.,1,25,30,520.6550974
1 in.,1,25,45,698.9069355
1 in.,1,25,60,840.9073662
1 in.,1,25,90,1020.368273
1 in.,1,25,120,1146.655577
1 in.,1,25,180,1324.909004
1 in.,1,25,240,1436.088511
3/4 in.,0.75,20,30,630.982602
3/4 in.,0.75,20,45,819.8169666
3/4 in.,0.75,20,60,951.2396359
3/4 in.,0.75,20,90,1127.97855
3/4 in.,0.75,20,120,1255.168685
3/4 in.,0.75,20,180,1422.238228
3/4 in.,0.75,20,240,1531.60445
9/16 in.,0.5625,15,30,753.4007921
9/16 in.,0.5625,15,45,927.72554
9/16 in.,0.5625,15,60,1056.126809
9/16 in.,0.5625,15,90,1242.839267
9/16 in.,0.5625,15,120,1375.772478
9/16 in.,0.5625,15,180,1529.846122
9/16 in.,0.5625,15,215,1600.838078
3/8 in.,0.375,10,30,881.259314
3/8 in.,0.375,10,45,1073.115238
3/8 in.,0.375,10,60,1197.587352
3/8 in.,0.375,10,90,1366.164259
3/8 in.,0.375,10,120,1486.100777
3/8 in.,0.375,10,145,1600.827957
3/16 in.,0.1875,5,30,1014.322164
3/16 in.,0.1875,5,45,1191.786394
3/16 in.,0.1875,5,60,1324.665912
3/16 in.,0.1875,5,90,1513.49463
3/16 in.,0.1875,5,105,1600.915832
