Distance_Label,Distance_in,Distance_mm,Time_min,Temperature(F)
7 in.,7,180,30,115.4828109
7 in.,7,180,45,140.9364116
7 in.,7,180,60,162.0014605
7 in.,7,180,90,195.3544546
7 in.,7,180,120,224.3188968
7 in.,7,180,180,272.5929671
7 in.,7,180,240,305.0682508
6 in.,6,150,30,127.2441299
6 in.,6,150,45,158.490619
6 in.,6,150,60,181.3110886
6 in.,6,150,90,223.4411864
6 in.,6,150,120,253.458881
6 in.,6,150,180,306.8236715
6 in.,6,150,240,372.6519492
5 in.,5,125,30,145.3249635
5 in.,5,125,45,176.0448264
5 in.,5,125,60,203.2538479
5 in.,5,125,90,253.283339
5 in.,5,125,120,297.1688574
5 in.,5,125,180,384.062184
5 in.,5,125,240,466.2158746
4 3/8 in.,4.375,110,30,162.0014605
4 3/8 in.,4.375,110,45,193.950118
4 3/8 in.,4.375,110,60,226.9520279
4 3/8 in.,4.375,110,90,278.9124817
4 3/8 in.,4.375,110,120,325.6066734
4 3/8 in.,4.375,110,180,423.0325244
4 3/8 in.,4.375,110,240,510.2769352
4 in.,4,100,30,176.0448264
4 in.,4,100,45,212.9086619
4 in.,4,100,60,248.3681609
4 in.,4,100,90,315.249691
4 in.,4,100,120,371.2476126
4 in.,4,100,180,489.2118863
4 in.,4,100,240,577.6850916
3 1/2 in.,3.5,90,30,192.1946972
3 1/2 in.,3.5,90,45,231.5161218
3 1/2 in.,3.5,90,60,270.8375463
3 1/2 in.,3.5,90,90,341.0543759
3 1/2 in.,3.5,90,120,413.0266262
3 1/2 in.,3.5,90,180,571.8922031
3 1/2 in.,3.5,90,240,666.8604651
3 1/8 in.,3.125,80,30,209.3978205
3 1/8 in.,3.125,80,45,246.261656
3 1/8 in.,3.125,80,60,287.1629592
3 1/8 in.,3.125,80,90,372.125323
3 1/8 in.,3.125,80,120,475.1685204
3 1/8 in.,3.125,80,180,650.3595102
3 1/8 in.,3.125,80,240,746.9076508
2 3/4 in.,2.75,70,30,231.3405797
2 3/4 in.,2.75,70,45,267.3267049
2 3/4 in.,2.75,70,60,313.6698124
2 3/4 in.,2.75,70,90,427.9477025
2 3/4 in.,2.75,70,120,553.1092012
2 3/4 in.,2.75,70,180,733.3909111
2 3/4 in.,2.75,70,240,835.7319402
2 3/8 in.,2.375,60,30,260.3050219
2 3/8 in.,2.375,60,45,310.334513
2 3/8 in.,2.375,60,60,371.5986968
2 3/8 in.,2.375,60,90,518.8784968
2 3/8 in.,2.375,60,120,646.4975845
2 3/8 in.,2.375,60,180,826.744186
2 3/8 in.,2.375,60,240,933.7546343
2 in.,2,50,30,288.1108864
2 in.,2,50,45,375.5308392
2 in.,2,50,60,475.1685204
2 in.,2,50,90,661.1729019
2 in.,2,50,120,786.5099427
2 in.,2,50,180,958.611392
2 in.,2,50,240,1072.362656
1 1/2 in.,1.5,40,30,379.5753286
1 1/2 in.,1.5,40,45,485.2376138
1 1/2 in.,1.5,40,60,628.8169869
1 1/2 in.,1.5,40,90,812.082912
1 1/2 in.,1.5,40,120,935.4398382
1 1/2 in.,1.5,40,180,1120.222447
1 1/2 in.,1.5,40,240,1228.665319
1 3/16 in.,1.1875,30,30,472.5985844
1 3/16 in.,1.1875,30,45,656.1172902
1 3/16 in.,1.1875,30,60,794.388271
1 3/16 in.,1.1875,30,90,989.5348837
1 3/16 in.,1.1875,30,120,1133.872599
1 3/16 in.,1.1875,30,180,1317.138524
1 3/16 in.,1.1875,30,240,1432.153691
1 in.,1,25,30,556.2689585
1 in.,1,25,45,742.3154702
1 in.,1,25,60,881.0920121
1 in.,1,25,90,1084.327604
1 in.,1,25,120,1222.345804
1 in.,1,25,180,1410.41456
1 in.,1,25,240,1527.704752
3/4 in.,0.75,20,30,666.2285137
3/4 in.,0.75,20,45,855.3083923
3/4 in.,0.75,20,60,993.3265925
3/4 in.,0.75,20,90,1183.923155
3/4 in.,0.75,20,120,1326.491405
3/4 in.,0.75,20,180,1507.482305
3/4 in.,0.75,20,233.5875264,1600.252781
9/16 in.,0.5625,15,30,781.2436805
9/16 in.,0.5625,15,45,959.9595551
9/16 in.,0.5625,15,60,1098.483316
9/16 in.,0.5625,15,90,1288.068756
9/16 in.,0.5625,15,120,1429.120324
9/16 in.,0.5625,15,175,1597.724975
3/8 in.,0.375,10,30,896.2588473
3/8 in.,0.375,10,45,1078.26087
3/8 in.,0.375,10,60,1217.290192
3/8 in.,0.375,10,90,1405.611729
3/8 in.,0.375,10,120,1541.607685
3/8 in.,0.375,10,130,1600.252781
3/16 in.,0.1875,5,30,1017.593529
3/16 in.,0.1875,5,45,1199.595551
3/16 in.,0.1875,5,60,1334.327604
3/16 in.,0.1875,5,90,1526.946411
3/16 in.,0.1875,5,100,1598.988878
